year,month,actual_precipitation,actual_mean_temp,actual_min_temp,actual_max_temp,city
2014,7,0.14129032258064517,77.74193548387096,67.74193548387096,87.29032258064517,CLT
2014,8,0.12064516129032259,76.58064516129032,66.74193548387096,85.96774193548387,CLT
2014,9,0.145,72.53333333333333,63.93333333333333,80.66666666666667,CLT
2014,10,0.043548387096774194,63.225806451612904,50.516129032258064,75.48387096774194,CLT
2014,11,0.12633333333333333,47.53333333333333,35.1,59.36666666666667,CLT
2014,12,0.08290322580645162,45.96774193548387,35.483870967741936,56.0,CLT
2015,1,0.09032258064516129,40.516129032258064,29.35483870967742,51.25806451612903,CLT
2015,2,0.10785714285714286,37.714285714285715,27.071428571428573,47.607142857142854,CLT
2015,3,0.07064516129032258,54.38709677419355,42.193548387096776,66.0,CLT
2015,4,0.20466666666666666,62.46666666666667,51.96666666666667,72.43333333333334,CLT
2015,5,0.01032258064516129,71.93548387096774,59.41935483870968,83.93548387096774,CLT
2015,6,0.091,80.33333333333333,68.4,91.8,CLT
2014,7,0.0,74.87096774193549,65.80645161290323,83.35483870967742,CQT
2014,8,0.0012903225806451613,75.61290322580645,65.7741935483871,84.83870967741936,CQT
2014,9,0.0003333333333333333,76.76666666666667,66.86666666666666,86.1,CQT
2014,10,0.008064516129032258,73.12903225806451,62.774193548387096,82.93548387096774,CQT
2014,11,0.016,66.33333333333333,55.5,76.56666666666666,CQT
2014,12,0.12516129032258064,59.25806451612903,50.70967741935484,67.51612903225806,CQT
2015,1,0.03516129032258065,62.25806451612903,51.193548387096776,72.70967741935483,CQT
2015,2,0.02964285714285714,64.42857142857143,54.0,74.25,CQT
2015,3,0.028064516129032258,68.48387096774194,57.38709677419355,79.06451612903226,CQT
2015,4,0.004333333333333333,66.13333333333334,55.96666666666667,75.66666666666667,CQT
2015,5,0.03,64.41935483870968,56.83870967741935,71.45161290322581,CQT
2015,6,0.0003333333333333333,70.83333333333333,62.0,79.13333333333334,CQT
2014,7,0.1,70.41935483870968,60.903225806451616,79.29032258064517,IND
2014,8,0.09516129032258065,74.06451612903226,65.03225806451613,82.64516129032258,IND
2014,9,0.08433333333333334,65.7,55.266666666666666,75.56666666666666,IND
2014,10,0.10225806451612902,54.483870967741936,45.193548387096776,63.16129032258065,IND
2014,11,0.09333333333333332,36.166666666666664,27.866666666666667,43.9,IND
2014,12,0.08225806451612902,33.58064516129032,27.774193548387096,38.83870967741935,IND
2015,1,0.05838709677419355,25.516129032258064,16.806451612903224,33.70967741935484,IND
2015,2,0.04785714285714286,20.392857142857142,10.964285714285714,29.464285714285715,IND
2015,3,0.11387096774193547,39.516129032258064,29.774193548387096,48.67741935483871,IND
2015,4,0.13333333333333333,54.766666666666666,44.06666666666667,64.83333333333333,IND
2015,5,0.07903225806451614,67.03225806451613,57.03225806451613,76.58064516129032,IND
2015,6,0.2786666666666667,72.83333333333333,63.9,81.23333333333333,IND
2014,7,0.08870967741935484,81.87096774193549,72.19354838709677,90.87096774193549,JAX
2014,8,0.09774193548387096,82.29032258064517,72.54838709677419,91.7741935483871,JAX
2014,9,0.3266666666666667,78.03333333333333,69.83333333333333,85.6,JAX
2014,10,0.06032258064516129,69.7741935483871,57.41935483870968,81.83870967741936,JAX
2014,11,0.132,57.266666666666666,45.233333333333334,68.86666666666666,JAX
2014,12,0.12064516129032257,58.41935483870968,47.225806451612904,69.09677419354838,JAX
2015,1,0.09935483870967741,53.45161290322581,42.516129032258064,63.774193548387096,JAX
2015,2,0.11857142857142856,51.642857142857146,40.035714285714285,62.67857142857143,JAX
2015,3,0.07387096774193548,65.51612903225806,54.096774193548384,76.51612903225806,JAX
2015,4,0.089,72.33333333333333,62.43333333333333,81.86666666666666,JAX
2015,5,0.03483870967741936,74.90322580645162,63.516129032258064,85.6774193548387,JAX
2015,6,0.21066666666666667,80.96666666666667,70.06666666666666,91.3,JAX
